TaxonUsageID;TaxonName;NameAuthor;SYNONYM;TaxonConceptID;TaxonConcept;VernacularName;TaxonRank;GRUPPE;IsChildTaxonOfID;IsChildTaxonOf;NACHWEIS;AccordingTo;HYBRID;BEGRUEND;EDITSTATUS;EuroMed
2597;"Galium verrucosum";Huds.;0;2597;"Galium verrucosum";;SPE;S;61188;Galium;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";03aac831-6a32-4ae3-8840-4aa74d9242d7
2598;"Galium verum agg.";"";0;2598;"Galium verum agg.";"Artengruppe Echtes Labkraut";AGG;S;61188;Galium;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";
2599;"Galium pomeranicum";Retz.;0;2599;"Galium pomeranicum";"Weißgelbes Labkraut";SPE;S;61188;Galium;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";
2600;"Galium verum s. str.";L.;0;2600;"Galium verum s. str.";"Echtes Labkraut";SPE;S;2598;"Galium verum agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";
2601;"Galium wirtgenii";"F. W. Schultz";0;2601;"Galium wirtgenii";"Wirtgens Labkraut";SPE;S;2598;"Galium verum agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";c6f2c62d-1215-41e0-a108-892bccf5d1d7
2603;"Gaudinia fragilis";"(L.) P. Beauv.";0;2603;"Gaudinia fragilis";"";SPE;S;61392;Gaudinia;"";EuroMed2019;0;;Ergaenzung;87579e4a-8f4e-467b-9c70-9940ee016c75
2604;"Genista anglica";L.;0;2604;"Genista anglica";"Englischer Ginster";SPE;S;61032;Genista;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";cf876dfe-9817-4863-8196-3d3b57a07b81
2606;"Genista germanica";L.;0;2606;"Genista germanica";"Deutscher Ginster";SPE;S;61032;Genista;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";488789ae-ed7f-4019-8523-5646ffa933d3
2609;"Genista pilosa";L.;0;2609;"Genista pilosa";"Behaarter Ginster";SPE;S;61032;Genista;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";a907f347-b917-4375-9e27-e798b6cd8e42
2614;"Genista tinctoria";L.;0;2614;"Genista tinctoria";"Färber-Ginster";SPE;S;61032;Genista;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";120f2415-eff0-4cbd-bc7c-04d4e826ac24
2615;"Genistella sagittalis";"(L.) Gams";1;21992;"Genista sagittalis";;SPE;S;;;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";e8d8f029-c697-41c3-ba3a-49403400b1be
2616;"Gentiana acaulis";L.;0;2616;"Gentiana acaulis";"Kochs Enzian";SPE;S;60928;Gentiana;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";9d16d6d0-17d0-4a1a-bfbd-5c07fe98e9c7
2619;"Gentiana asclepiadea";L.;0;2619;"Gentiana asclepiadea";Schwalbenwurz-Enzian;SPE;S;60928;Gentiana;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";9e3dcd7b-8dd6-40e1-882b-c629b00aa286
2620;"Gentiana bavarica agg.";"";0;2620;"Gentiana bavarica agg.";"";AGG;S;60928;Gentiana;Florkart;"Ehrendorfer (1973)";"";;Ergaenzung;
2621;"Gentiana bavarica";L.;0;2621;"Gentiana bavarica";"Bayerischer Enzian";SPE;S;60928;Gentiana;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";ba31e7c6-bf69-4295-92f6-9ccef3f88155
2624;"Gentiana clusii";"E. P. Perrier & Songeon";0;2624;"Gentiana clusii";"Clusius Enzian";SPE;S;60928;Gentiana;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";303ef79a-2d99-4fbb-995e-546cc597c1aa
2625;"Gentiana cruciata";L.;0;2625;"Gentiana cruciata";Kreuz-Enzian;SPE;S;60928;Gentiana;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";e7a2dcc0-debc-40c3-8fce-9795ae6989cb
